"","date","timedate","mono","TECH","grouptoday","natal","resident.group","mom","obs","tech.parse","switch","rav","fav","name","male","yob","dob","male2","TECH_i","mono_i","grouptoday_i","nonnatal","postmig","post_rf_fizz","post_mk_fizz","post_fl_fizz","post_fizz"
"93570",2003-02-15,(03-02-15 11:49:25),"VU","S","aa","aa","aa","VV","NP","S",0,"","","Vishnu",0,2001,"5/4/01",1,5,216,1,0,0,0,0,1,1
"3596",2003-02-16,(03-02-16 00:00:00),"BA","RO","rr","rr","u","KK","SEP","RO",0,"","","Bart",1,1996,"2/1/96",2,4,12,10,0,0,0,1,0,1
"3993",2003-02-16,(03-02-16 00:00:00),"BB","H","rr","rr","u","RY","SEP","L,H",0,"","","Barbell",1,1995,"9/1/95",2,1,13,10,0,0,0,1,0,1
"3994",2003-02-16,(03-02-16 00:00:00),"BB","S","rr","rr","u","RY","SEP","S",0,"","","Barbell",1,1995,"9/1/95",2,5,13,10,0,0,0,1,0,1
"37327",2003-02-16,(03-02-16 00:00:00),"HA","H","rr","rr","lb","CC","SEP","LS,H",0,"","","Hada",1,1999,"4/21/99",2,1,85,10,0,0,0,1,0,1
"51498",2003-02-16,(03-02-16 00:00:00),"MB","RO","rr","rr","rr","MA","SEP","RO,G",0,"","","Mombassa",0,2001,"8/2/01",1,4,122,10,0,0,0,1,0,1
"74531",2003-02-16,(03-02-16 00:00:00),"RO","S","rr","rr","bd","WW","SEP","L",0,"","","Rocky",1,1999,"8/15/99",2,5,172,10,0,0,0,1,0,1
"74532",2003-02-16,(03-02-16 00:00:00),"RO","S","rr","rr","bd","WW","SEP","L",0,"","","Rocky",1,1999,"8/15/99",2,5,172,10,0,0,0,1,0,1
"81804",2003-02-16,(03-02-16 00:00:00),"SN","RO","rr","rr","d","DH","SEP","RO",0,"","MB","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"81805",2003-02-16,(03-02-16 00:00:00),"SN","S","rr","rr","d","DH","SEP","S",0,"MB CI","","Simpson",0,1996,"7/1/96",1,5,186,10,0,0,0,1,0,1
"81816",2003-02-16,(03-02-16 00:00:00),"SN","RO","rr","rr","d","DH","SEP","S,RO",0,"","","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"88074",2003-02-16,(03-02-16 00:00:00),"TO","LS","rr","rr","d","MA","SEP","LS",0,"","","Tranquilo",1,1992,"5/15/92",2,2,202,10,0,0,0,1,0,1
"3593",2003-02-16,(03-02-16 11:30:00),"BA","RO","rr","rr","u","KK","EW","RO,S",0,"","","Bart",1,1996,"2/1/96",2,4,12,10,0,0,0,1,0,1
"3594",2003-02-16,(03-02-16 11:30:00),"BA","RO","rr","rr","u","KK","EW","RO",0,"","","Bart",1,1996,"2/1/96",2,4,12,10,0,0,0,1,0,1
"3595",2003-02-16,(03-02-16 11:30:00),"BA","RO","rr","rr","u","KK","EW","RO,S",0,"","","Bart",1,1996,"2/1/96",2,4,12,10,0,0,0,1,0,1
"3597",2003-02-16,(03-02-16 11:30:00),"BA","RO","rr","rr","u","KK","EW","RO,S",0,"","","Bart",1,1996,"2/1/96",2,4,12,10,0,0,0,1,0,1
"29632",2003-02-16,(03-02-16 11:30:00),"EO","S","rr","rr","aa","MA","EW","S,S",1,"","","Elmo",1,1996,"5/15/96",2,5,65,10,0,0,0,1,0,1
"29633",2003-02-16,(03-02-16 11:30:00),"EO","S","rr","rr","aa","MA","EW","S",0,"","","Elmo",1,1996,"5/15/96",2,5,65,10,0,0,0,1,0,1
"29634",2003-02-16,(03-02-16 11:30:00),"EO","OP","rr","rr","aa","MA","EW","OP",0,"","","Elmo",1,1996,"5/15/96",2,3,65,10,0,0,0,1,0,1
"33957",2003-02-16,(03-02-16 11:30:00),"GE","OP","rr","rr","rr","MA","EW","OP",0,"","","Gerber",0,1998,"7/31/98",1,3,77,10,0,0,0,1,0,1
"33959",2003-02-16,(03-02-16 11:30:00),"GE","S","rr","rr","rr","MA","EW","S",0,"","","Gerber",0,1998,"7/31/98",1,5,77,10,0,0,0,1,0,1
"33962",2003-02-16,(03-02-16 11:30:00),"GE","S","rr","rr","rr","MA","EW","S",0,"","","Gerber",0,1998,"7/31/98",1,5,77,10,0,0,0,1,0,1
"50795",2003-02-16,(03-02-16 11:30:00),"MA","S","rr","rr","rr","CC","EW","S",0,"","","Mezcla",0,1978,"5/15/78",1,5,121,10,0,0,0,1,0,1
"50796",2003-02-16,(03-02-16 11:30:00),"MA","LS","rr","rr","rr","CC","EW","LS,S",0,"","","Mezcla",0,1978,"5/15/78",1,2,121,10,0,0,0,1,0,1
"92444",2003-02-16,(03-02-16 11:30:00),"UZ","S","rr","rr","d","UU","EW","S",0,"","","Uzo",0,2000,"9/1/00",1,5,211,10,0,0,0,1,0,1
"92446",2003-02-16,(03-02-16 11:30:00),"UZ","W","rr","rr","d","UU","EW","W,P",0,"","","Uzo",0,2000,"9/1/00",1,6,211,10,0,0,0,1,0,1
"96437",2003-02-16,(03-02-16 11:30:00),"WM","OP","rr","rr","bd","WW","EW","S,OP",0,"","","Wembley",1,2002,"7/13/02",2,3,221,10,0,0,0,1,0,1
"97221",2003-02-16,(03-02-16 11:30:00),"WW","S","rr","rr","mk","DH","EW","S",0,"","","Wanna",0,1991,"5/15/91",1,5,223,10,0,0,0,1,0,1
"97225",2003-02-16,(03-02-16 11:30:00),"WW","S","rr","rr","mk","DH","EW","S",0,"UZ","","Wanna",0,1991,"5/15/91",1,5,223,10,0,0,0,1,0,1
"21464",2003-02-16,(03-02-16 11:33:00),"DI","LS","rr","rr","rr","CC","SEP","S,LS",0,"","","Dixi",0,1993,"5/15/93",1,2,50,10,0,0,0,1,0,1
"3991",2003-02-16,(03-02-16 11:40:00),"BB","RO","rr","rr","u","RY","SEP","RO",0,"","","Barbell",1,1995,"9/1/95",2,4,13,10,0,0,0,1,0,1
"3992",2003-02-16,(03-02-16 11:40:00),"BB","RO","rr","rr","u","RY","SEP","RO",0,"","","Barbell",1,1995,"9/1/95",2,4,13,10,0,0,0,1,0,1
"96133",2003-02-16,(03-02-16 11:40:00),"WI","LS","rr","rr","u","WW","SEP","LS",0,"","","Wicket",1,2001,"4/25/01",2,2,220,10,0,0,0,1,0,1
"96134",2003-02-16,(03-02-16 11:40:00),"WI","W","rr","rr","u","WW","SEP","W,LS",0,"","","Wicket",1,2001,"4/25/01",2,6,220,10,0,0,0,1,0,1
"53696",2003-02-16,(03-02-16 11:45:00),"MH","S","rr","rr","rr","MA","SEP","S",0,"","","Mooch",0,1999,"8/15/99",1,5,126,10,0,0,0,1,0,1
"53697",2003-02-16,(03-02-16 11:45:00),"MH","S","rr","rr","rr","MA","SEP","S",0,"","","Mooch",0,1999,"8/15/99",1,5,126,10,0,0,0,1,0,1
"97224",2003-02-16,(03-02-16 11:45:00),"WW","S","rr","rr","mk","DH","SEP","S",0,"","","Wanna",0,1991,"5/15/91",1,5,223,10,0,0,0,1,0,1
"3598",2003-02-16,(03-02-16 12:05:00),"BA","S","rr","rr","u","KK","SEP","S,S",1,"","","Bart",1,1996,"2/1/96",2,5,12,10,0,0,0,1,0,1
"21462",2003-02-16,(03-02-16 12:05:00),"DI","S","rr","rr","rr","CC","SEP","S",0,"","","Dixi",0,1993,"5/15/93",1,5,50,10,0,0,0,1,0,1
"26020",2003-02-16,(03-02-16 12:05:00),"DU","OP","rr","rr","aa","CC","SEP","OP",0,"","","Duende",1,1996,"9/1/96",2,3,58,10,0,0,0,1,0,1
"26021",2003-02-16,(03-02-16 12:05:00),"DU","OP","rr","rr","aa","CC","SEP","S,OP",0,"","","Duende",1,1996,"9/1/96",2,3,58,10,0,0,0,1,0,1
"26022",2003-02-16,(03-02-16 12:05:00),"DU","OP","rr","rr","aa","CC","SEP","S,OP",0,"","","Duende",1,1996,"9/1/96",2,3,58,10,0,0,0,1,0,1
"26023",2003-02-16,(03-02-16 12:05:00),"DU","S","rr","rr","aa","CC","SEP","S",0,"","","Duende",1,1996,"9/1/96",2,5,58,10,0,0,0,1,0,1
"26024",2003-02-16,(03-02-16 12:05:00),"DU","OP","rr","rr","aa","CC","SEP","OP",0,"","","Duende",1,1996,"9/1/96",2,3,58,10,0,0,0,1,0,1
"53698",2003-02-16,(03-02-16 12:05:00),"MH","S","rr","rr","rr","MA","SEP","S",0,"","","Mooch",0,1999,"8/15/99",1,5,126,10,0,0,0,1,0,1
"69057",2003-02-16,(03-02-16 12:05:00),"PP","S","rr","u","d","","SEP","S",0,"SP","","Pablo",1,1978,"5/15/78",2,5,161,10,1,1,0,0,0,0
"69058",2003-02-16,(03-02-16 12:05:00),"PP","S","rr","u","d","","SEP","S",0,"","","Pablo",1,1978,"5/15/78",2,5,161,10,1,1,0,0,0,0
"69062",2003-02-16,(03-02-16 12:05:00),"PP","S","rr","u","d","","SEP","S",0,"","","Pablo",1,1978,"5/15/78",2,5,161,10,1,1,0,0,0,0
"81801",2003-02-16,(03-02-16 12:05:00),"SN","RO","rr","rr","d","DH","SEP","RO",0,"","","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"81802",2003-02-16,(03-02-16 12:05:00),"SN","RO","rr","rr","d","DH","SEP","S,RO",0,"","","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"81803",2003-02-16,(03-02-16 12:05:00),"SN","RO","rr","rr","d","DH","SEP","RO",0,"","","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"81806",2003-02-16,(03-02-16 12:05:00),"SN","RO","rr","rr","d","DH","SEP","S,RO",0,"","","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"81807",2003-02-16,(03-02-16 12:05:00),"SN","RO","rr","rr","d","DH","SEP","RO",0,"","","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"81808",2003-02-16,(03-02-16 12:05:00),"SN","RO","rr","rr","d","DH","SEP","RO",0,"","","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"81809",2003-02-16,(03-02-16 12:05:00),"SN","RO","rr","rr","d","DH","SEP","RO",0,"","","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"81810",2003-02-16,(03-02-16 12:05:00),"SN","RO","rr","rr","d","DH","SEP","RO",0,"","","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"81811",2003-02-16,(03-02-16 12:05:00),"SN","RO","rr","rr","d","DH","SEP","RO",0,"","","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"81812",2003-02-16,(03-02-16 12:05:00),"SN","S","rr","rr","d","DH","SEP","S",0,"","","Simpson",0,1996,"7/1/96",1,5,186,10,0,0,0,1,0,1
"81813",2003-02-16,(03-02-16 12:05:00),"SN","RO","rr","rr","d","DH","SEP","RO",0,"","","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"81814",2003-02-16,(03-02-16 12:05:00),"SN","RO","rr","rr","d","DH","SEP","RO",0,"","","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"81815",2003-02-16,(03-02-16 12:05:00),"SN","RO","rr","rr","d","DH","SEP","RO",0,"SP","","Simpson",0,1996,"7/1/96",1,4,186,10,0,0,0,1,0,1
"81817",2003-02-16,(03-02-16 12:05:00),"SN","S","rr","rr","d","DH","SEP","S",0,"SP","","Simpson",0,1996,"7/1/96",1,5,186,10,0,0,0,1,0,1
"82620",2003-02-16,(03-02-16 12:05:00),"SP","RO","rr","rr","d","SN","SEP","RO",0,"","","Sprocket",0,2002,"5/14/02",1,4,188,10,0,0,0,1,0,1
"82621",2003-02-16,(03-02-16 12:05:00),"SP","RO","rr","rr","d","SN","SEP","RO",0,"","","Sprocket",0,2002,"5/14/02",1,4,188,10,0,0,0,1,0,1
"15995",2003-02-16,(03-02-16 12:09:00),"CS","W","rr","rr","cu","CU","EW","P,W",0,"","","Cosmos",0,2000,"10/1/00",1,6,40,10,0,0,0,1,0,1
"15996",2003-02-16,(03-02-16 12:09:00),"CS","OP","rr","rr","cu","CU","EW","OP",0,"","","Cosmos",0,2000,"10/1/00",1,3,40,10,0,0,0,1,0,1
"78607",2003-02-16,(03-02-16 12:09:00),"SC","W","rr","rr","d","WW","EW","S,W,OP",0,"","","Scooby",0,1997,"5/30/97",1,6,180,10,0,0,0,1,0,1
"78608",2003-02-16,(03-02-16 12:09:00),"SC","OP","rr","rr","d","WW","EW","S,OP,S,S",1,"","","Scooby",0,1997,"5/30/97",1,3,180,10,0,0,0,1,0,1
"80484",2003-02-16,(03-02-16 12:09:00),"SK","S","rr","rr","lb","CU","EW","S",0,"","","Skippy",1,1998,"8/1/98",2,5,184,10,0,0,0,1,0,1
"97222",2003-02-16,(03-02-16 12:09:00),"WW","S","rr","rr","mk","DH","EW","S",0,"","","Wanna",0,1991,"5/15/91",1,5,223,10,0,0,0,1,0,1
"97226",2003-02-16,(03-02-16 12:09:00),"WW","OP","rr","rr","mk","DH","EW","S,OP,S,S",1,"","","Wanna",0,1991,"5/15/91",1,3,223,10,0,0,0,1,0,1
"20842",2003-02-16,(03-02-16 12:54:00),"DH","S","rr","rr","d","CC","SEP","S",0,"","","Delilah",0,1982,"5/15/82",1,5,49,10,0,0,0,1,0,1
"33958",2003-02-16,(03-02-16 12:54:00),"GE","S","rr","rr","rr","MA","SEP","S",0,"","","Gerber",0,1998,"7/31/98",1,5,77,10,0,0,0,1,0,1
"33960",2003-02-16,(03-02-16 12:54:00),"GE","S","rr","rr","rr","MA","SEP","S",0,"CH","","Gerber",0,1998,"7/31/98",1,5,77,10,0,0,0,1,0,1
"33961",2003-02-16,(03-02-16 12:54:00),"GE","S","rr","rr","rr","MA","SEP","S",0,"","","Gerber",0,1998,"7/31/98",1,5,77,10,0,0,0,1,0,1
"69056",2003-02-16,(03-02-16 12:54:00),"PP","S","rr","u","d","","SEP","S",0,"","","Pablo",1,1978,"5/15/78",2,5,161,10,1,1,0,0,0,0
"69059",2003-02-16,(03-02-16 12:54:00),"PP","S","rr","u","d","","SEP","S",0,"","","Pablo",1,1978,"5/15/78",2,5,161,10,1,1,0,0,0,0
"69060",2003-02-16,(03-02-16 12:54:00),"PP","S","rr","u","d","","SEP","S",0,"","","Pablo",1,1978,"5/15/78",2,5,161,10,1,1,0,0,0,0
"69061",2003-02-16,(03-02-16 12:54:00),"PP","S","rr","u","d","","SEP","S",0,"","","Pablo",1,1978,"5/15/78",2,5,161,10,1,1,0,0,0,0
"20843",2003-02-16,(03-02-16 17:35:00),"DH","OP","rr","rr","d","CC","EW","OP",0,"","","Delilah",0,1982,"5/15/82",1,3,49,10,0,0,0,1,0,1
"20844",2003-02-16,(03-02-16 17:35:00),"DH","OP","rr","rr","d","CC","EW","OP",0,"","","Delilah",0,1982,"5/15/82",1,3,49,10,0,0,0,1,0,1
"97223",2003-02-16,(03-02-16 17:35:00),"WW","RO","rr","rr","mk","DH","EW","S,S,RO",1,"","","Wanna",0,1991,"5/15/91",1,4,223,10,0,0,0,1,0,1
"20845",2003-02-16,(03-02-16 17:47:00),"DH","LS","rr","rr","d","CC","EW","LS",0,"","","Delilah",0,1982,"5/15/82",1,2,49,10,0,0,0,1,0,1
"6887",2003-02-17,(03-02-17 11:41:00),"BO","OP","aa","aa","fl","TT","SEP","OP",0,"","","Boones",0,1999,"9/1/99",1,3,22,1,0,0,0,0,1,1
"6888",2003-02-17,(03-02-17 11:41:00),"BO","OP","aa","aa","fl","TT","SEP","S,OP",0,"","","Boones",0,1999,"9/1/99",1,3,22,1,0,0,0,0,1,1
"6889",2003-02-17,(03-02-17 11:41:00),"BO","OP","aa","aa","fl","TT","SEP","S,OP",0,"","","Boones",0,1999,"9/1/99",1,3,22,1,0,0,0,0,1,1
"6890",2003-02-17,(03-02-17 11:41:00),"BO","OP","aa","aa","fl","TT","SEP","OP",0,"","","Boones",0,1999,"9/1/99",1,3,22,1,0,0,0,0,1,1
"6891",2003-02-17,(03-02-17 11:41:00),"BO","OP","aa","aa","fl","TT","SEP","OP",0,"","","Boones",0,1999,"9/1/99",1,3,22,1,0,0,0,0,1,1
"6892",2003-02-17,(03-02-17 11:41:00),"BO","OP","aa","aa","fl","TT","SEP","OP",0,"","","Boones",0,1999,"9/1/99",1,3,22,1,0,0,0,0,1,1
"32344",2003-02-17,(03-02-17 11:41:00),"FY","S","aa","aa","aa","MM","SEP","S",0,"","","Fishy",0,1999,"5/10/99",1,5,73,1,0,0,0,0,1,1
"93572",2003-02-17,(03-02-17 11:41:00),"VU","LS","aa","aa","aa","VV","SEP","S,LS",0,"","","Vishnu",0,2001,"5/4/01",1,2,216,1,0,0,0,0,1,1
"93574",2003-02-17,(03-02-17 11:41:00),"VU","LS","aa","aa","aa","VV","SEP","LS",0,"","","Vishnu",0,2001,"5/4/01",1,2,216,1,0,0,0,0,1,1
"93575",2003-02-17,(03-02-17 11:41:00),"VU","S","aa","aa","aa","VV","SEP","S",0,"BO","","Vishnu",0,2001,"5/4/01",1,5,216,1,0,0,0,0,1,1
"93576",2003-02-17,(03-02-17 11:41:00),"VU","LS","aa","aa","aa","VV","SEP","S,LS",0,"","","Vishnu",0,2001,"5/4/01",1,2,216,1,0,0,0,0,1,1
"41962",2003-02-17,(03-02-17 13:45:00),"JK","H","aa","u","u","","SEP","OP,H",0,"","","Jackson",1,1990,"5/15/90",2,1,96,1,1,1,0,0,0,0
"41963",2003-02-17,(03-02-17 13:45:00),"JK","H","aa","u","u","","SEP","OP,H",0,"","","Jackson",1,1990,"5/15/90",2,1,96,1,1,1,0,0,0,0
"41965",2003-02-17,(03-02-17 13:45:00),"JK","H","aa","u","u","","SEP","OP,H",0,"","","Jackson",1,1990,"5/15/90",2,1,96,1,1,1,0,0,0,0
"41966",2003-02-17,(03-02-17 13:45:00),"JK","H","aa","u","u","","SEP","OP,H",0,"","","Jackson",1,1990,"5/15/90",2,1,96,1,1,1,0,0,0,0
"41967",2003-02-17,(03-02-17 13:45:00),"JK","H","aa","u","u","","SEP","OP,H",0,"","","Jackson",1,1990,"5/15/90",2,1,96,1,1,1,0,0,0,0
"41968",2003-02-17,(03-02-17 13:45:00),"JK","H","aa","u","u","","SEP","OP,H",0,"","","Jackson",1,1990,"5/15/90",2,1,96,1,1,1,0,0,0,0
"86",2003-02-17,(03-02-17 13:48:25),"AG","OP","aa","aa","u","NN","NP","OP",0,"","","Al Gore",1,1999,"3/15/99",2,3,1,1,0,0,0,0,1,1
"8882",2003-02-17,(03-02-17 13:48:25),"CA","W","aa","aa","rr","CE","NP","S,W",0,"","","Cassie",1,2000,"8/15/00",2,6,27,1,0,0,0,0,1,1
"8883",2003-02-17,(03-02-17 13:48:25),"CA","W","aa","aa","rr","CE","NP","S,S,S,S,W",1,"","","Cassie",1,2000,"8/15/00",2,6,27,1,0,0,0,0,1,1
"87290",2003-02-17,(03-02-17 13:48:25),"TI","OP","aa","aa","u","NN","NP","OP",0,"","","Till",1,1995,"7/12/95",2,3,198,1,0,0,0,0,1,1
"87291",2003-02-17,(03-02-17 13:48:25),"TI","OP","aa","aa","u","NN","NP","OP,OP",0,"","","Till",1,1995,"7/12/95",2,3,198,1,0,0,0,0,1,1
"87292",2003-02-17,(03-02-17 13:48:25),"TI","OP","aa","aa","u","NN","NP","OP",0,"","","Till",1,1995,"7/12/95",2,3,198,1,0,0,0,0,1,1
"88866",2003-02-17,(03-02-17 13:48:25),"TU","S","aa","aa","u","TT","NP","L",0,"","","Toulouse",1,2001,"11/21/01",2,5,205,1,0,0,0,0,1,1
"93573",2003-02-17,(03-02-17 13:48:25),"VU","S","aa","aa","aa","VV","NP","L",0,"","","Vishnu",0,2001,"5/4/01",1,5,216,1,0,0,0,0,1,1
"41964",2003-02-17,(03-02-17 14:04:00),"JK","H","aa","u","u","","SEP","OP,H",0,"","","Jackson",1,1990,"5/15/90",2,1,96,1,1,1,0,0,0,0
"41969",2003-02-17,(03-02-17 14:04:00),"JK","H","aa","u","u","","SEP","OP,H",0,"","","Jackson",1,1990,"5/15/90",2,1,96,1,1,1,0,0,0,0
"60900",2003-02-17,(03-02-17 14:04:00),"NB","LS","aa","aa","d","NN","SEP","LS",0,"","","Nobu",1,2001,"8/20/01",2,2,141,1,0,0,0,0,1,1
"98292",2003-02-17,(03-02-17 14:04:00),"YA","LS","aa","aa","rr","OP","SEP","LS",0,"","","Yasuni",1,2001,"2/17/01",2,2,225,1,0,0,0,0,1,1
"8884",2003-02-18,(03-02-18 07:15:25),"CA","W","aa","aa","rr","CE","NP","S,W,LS,S",0,"","","Cassie",1,2000,"8/15/00",2,6,27,1,0,0,0,0,1,1
"8885",2003-02-18,(03-02-18 07:15:25),"CA","S","aa","aa","rr","CE","NP","S",0,"","","Cassie",1,2000,"8/15/00",2,5,27,1,0,0,0,0,1,1
"56489",2003-02-18,(03-02-18 07:15:25),"MN","LS","aa","aa","u","MM","NP","LS,S,S,S",1,"","","Maranon",1,2001,"4/6/01",2,2,131,1,0,0,0,0,1,1
"56490",2003-02-18,(03-02-18 07:15:25),"MN","LS","aa","aa","u","MM","NP","LS,S",0,"","","Maranon",1,2001,"4/6/01",2,2,131,1,0,0,0,0,1,1
"3600",2003-02-18,(03-02-18 15:47:00),"BA","RO","rr","rr","u","KK","EW","RO",0,"","","Bart",1,1996,"2/1/96",2,4,12,10,0,0,0,1,0,1
"33964",2003-02-18,(03-02-18 15:47:00),"GE","S","rr","rr","rr","MA","EW","S",0,"","","Gerber",0,1998,"7/31/98",1,5,77,10,0,0,0,1,0,1
"33965",2003-02-18,(03-02-18 15:47:00),"GE","S","rr","rr","rr","MA","EW","S",0,"","","Gerber",0,1998,"7/31/98",1,5,77,10,0,0,0,1,0,1
"33966",2003-02-18,(03-02-18 15:47:00),"GE","S","rr","rr","rr","MA","EW","S",0,"","","Gerber",0,1998,"7/31/98",1,5,77,10,0,0,0,1,0,1
"33967",2003-02-18,(03-02-18 15:47:00),"GE","S","rr","rr","rr","MA","EW","S",0,"","","Gerber",0,1998,"7/31/98",1,5,77,10,0,0,0,1,0,1
"33968",2003-02-18,(03-02-18 15:47:00),"GE","S","rr","rr","rr","MA","EW","S",0,"","","Gerber",0,1998,"7/31/98",1,5,77,10,0,0,0,1,0,1
"53700",2003-02-18,(03-02-18 15:47:00),"MH","S","rr","rr","rr","MA","EW","S,G,S",0,"","","Mooch",0,1999,"8/15/99",1,5,126,10,0,0,0,1,0,1
"53701",2003-02-18,(03-02-18 15:47:00),"MH","S","rr","rr","rr","MA","EW","S",0,"","","Mooch",0,1999,"8/15/99",1,5,126,10,0,0,0,1,0,1
"80486",2003-02-18,(03-02-18 15:47:00),"SK","OP","rr","rr","lb","CU","EW","OP",0,"","","Skippy",1,1998,"8/1/98",2,3,184,10,0,0,0,1,0,1
"80487",2003-02-18,(03-02-18 15:47:00),"SK","RO","rr","rr","lb","CU","EW","OP,RO",0,"","","Skippy",1,1998,"8/1/98",2,4,184,10,0,0,0,1,0,1
"33573",2003-02-20,(03-02-20 00:00:00),"GA","S","rr","rr","u","DH","SEP","S",0,"","","Gatito",1,1999,"5/17/99",2,5,75,10,0,0,0,1,0,1
"33574",2003-02-20,(03-02-20 00:00:00),"GA","H","rr","rr","u","DH","SEP","S,H",0,"","","Gatito",1,1999,"5/17/99",2,1,75,10,0,0,0,1,0,1
"33575",2003-02-20,(03-02-20 00:00:00),"GA","H","rr","rr","u","DH","SEP","S,H",0,"","","Gatito",1,1999,"5/17/99",2,1,75,10,0,0,0,1,0,1
"74535",2003-02-20,(03-02-20 00:00:00),"RO","S","rr","rr","bd","WW","SEP","S,G",0,"","","Rocky",1,1999,"8/15/99",2,5,172,10,0,0,0,1,0,1
"3601",2003-02-20,(03-02-20 08:55:00),"BA","S","rr","rr","u","KK","TGL","S",0,"","","Bart",1,1996,"2/1/96",2,5,12,10,0,0,0,1,0,1
"35408",2003-02-20,(03-02-20 09:04:00),"GM","W","rr","rr","lb","CU","SEP","W",0,"","","Gizmo",1,1995,"9/1/95",2,6,80,10,0,0,0,1,0,1
"33969",2003-02-20,(03-02-20 17:05:00),"GE","S","rr","rr","rr","MA","SEP","S",0,"","","Gerber",0,1998,"7/31/98",1,5,77,10,0,0,0,1,0,1
"21467",2003-02-20,(03-02-20 17:06:00),"DI","OP","rr","rr","rr","CC","TGL","OP",0,"DW","","Dixi",0,1993,"5/15/93",1,3,50,10,0,0,0,1,0,1
